"code","description","record_type"
"96206-01","Неуточнений шлях введення фармакологічного засобу, тромболітичний засіб","ACTION"
"92206-00","Обмінне переливання крові","ACTION"
"13306-00","Обмінне переливання крові у немовлят","ACTION"
"90662-00","Обробка татуювання лазером","ACTION"
"13939-02","Обслуговування (виключно) магістралі судинного доступу","ACTION"
"13942-02","Обслуговування (виключно) пристрою для доставки лікарського засобу","ACTION"
"97457-00","Обтурація дефекту резорбції або перфорації","ACTION"
"97171-00","Одонтопластика, на одному зубi","ACTION"
"97968-00","Оклюзійна корекція після проведення аналізу оклюзії","ACTION"
"15600-04","Опромінення всієї площі шкіри","ACTION"
"15600-03","Опромінення всього тіла","ACTION"
"96203-04","Оральний шлях введення фармакологічного засобу, антидот","ACTION"
"96203-08","Оральний шлях введення фармакологічного засобу, електроліт","ACTION"
"96203-06","Оральний шлях введення фармакологічного засобу, інсулін","ACTION"
"96203-19","Оральний шлях введення фармакологічного засобу, інший та неуточнений фармакологічний засіб","ACTION"
"96203-07","Оральний шлях введення фармакологічного засобу, поживна речовина","ACTION"
"96203-02","Оральний шлях введення фармакологічного засобу, протиінфекційний засіб","ACTION"
"96203-00","Оральний шлях введення фармакологічного засобу, протипухлинний засіб","ACTION"
"96203-03","Оральний шлях введення фармакологічного засобу, стероїд","ACTION"
"97625-00","Основа для коронки разом зі штифтом, непряма реставрація","ACTION"
"97911-00","Паліативні стоматологічні послуги","ACTION"
"92173-00","Пасивна імунізація анти-D імуноглобуліном","ACTION"
"92175-00","Пасивна імунізація антирабічним імуноглобуліном","ACTION"
"92174-00","Пасивна імунізація імуноглобуліном проти вітряної віспи та оперізувального лишаю","ACTION"
"13750-01","Терапевтичний лейкоферез","ACTION"
"92176-00","Пасивна імунізація імуноглобуліном проти гепатиту В","ACTION"
"92177-00","Пасивна імунізація імуноглобуліном проти цитомегаловірусу","ACTION"
"92172-00","Пасивна імунізація нормальним імуноглобуліном","ACTION"
"97878-00","Перебазування знімного апарату, обробленого","ACTION"
"97743-00","Перебазування повного знімного зубного протеза, обробленого","ACTION"
"97751-00","Перебазування повного знімного зубного протеза, пряме","ACTION"
"97744-00","Перебазування часткового знімного зубного протеза, обробленого","ACTION"
"97752-00","Перебазування часткового знімного зубного протеза, пряме","ACTION"
"13100-06","Перитонеальний діаліз, короткостроковий","ACTION"
"22060-00","Перфузія всього тіла","ACTION"
"22055-00","Перфузія органу, не класифікована в інших рубриках","ACTION"
"13760-00","Підготовка кісткового мозку або периферичної крові в лабораторних умовах для трансплантації аутологічних (власних) стовбурових клітин","ACTION"
"97771-00","Підготовка тканин протезного ложа перед зняттям зліпків, одна обробка","ACTION"
"96097-00","Підтримка ентерального харчування","ACTION"
"96095-00","Підтримка лікувального харчування","ACTION"
"96098-00","Підтримка парентерального харчування","ACTION"
"96096-00","Підтримка перорального харчування","ACTION"
"96185-00","Підтримуюча психотерапія, не класифікована в інших рубриках","ACTION"
"90030-00","Підшкірна післяпроцедурна інфузія анестетика","ACTION"
"96200-10","Підшкірне введення лікарського засобу, психотерапевтичний лікарський засіб","ACTION"
"96200-04","Підшкірне введення фармакологічного засобу, антидот","ACTION"
"96200-08","Підшкірне введення фармакологічного засобу, електроліт","ACTION"
"96200-06","Підшкірне введення фармакологічного засобу, інсулін","ACTION"
"96200-19","Підшкірне введення фармакологічного засобу, інший та неуточнений фармакологічний засіб","ACTION"
"96200-07","Підшкірне введення фармакологічного засобу, поживна речовина","ACTION"
"96200-02","Підшкірне введення фармакологічного засобу, протиінфекційний засіб","ACTION"
"96200-00","Підшкірне введення фармакологічного засобу, протипухлинний засіб","ACTION"
"96200-03","Підшкірне введення фармакологічного засобу, стероїд","ACTION"
"96200-01","Підшкірне введення фармакологічного засобу, тромболітичний засіб","ACTION"
"97986-00","Післяопераційна стоматологічна допомога, не класифікована в інших рубриках","ACTION"
"90762-01","План лікування за допомогою фармакотерапії, повторний курс","ACTION"
"90762-00","План лікування за допомогою фармакотерапії, початковий курс","ACTION"
"15541-00","Планування брахітерапії, внутрішньосудинної","ACTION"
"15539-00","Планування брахітерапії, для передміхурової залози","ACTION"
"15536-00","Планування брахітерапії, просте","ACTION"
"15536-01","Планування брахітерапії, середньої складності","ACTION"
"15536-02","Планування брахітерапії, складне","ACTION"
"97611-01","Повна коронка, акрилова смола, непряма реставрація","ACTION"
"97615-00","Повна коронка, з фасеткою, непряма реставрація","ACTION"
"97618-00","Повна коронка, металева, непряма реставрація","ACTION"
"97613-00","Повна коронка, неметалева, непряма реставрація","ACTION"
"97672-00","Повна коронка, приєднана до остеоінтегрованого імплантата, з фасеткою, непряма реставрація","ACTION"
"97673-00","Повна коронка, приєднана до остеоінтегрованого імплантата, металева, непряма реставрація","ACTION"
"97671-00","Повна коронка, приєднана до остеоінтегрованого імплантата, неметалева, непряма реставрація","ACTION"
"97766-01","Повторне встановлення існуючого зуба на зубному протезі, один зуб","ACTION"
"97651-00","Повторне цементування коронки або вініру","ACTION"
"97652-00","Повторне цементування моста або шини, один абатмент","ACTION"
"97596-00","Повторне цементування непрямого відновлення","ACTION"
"97627-00","Попередня реставрація при встановленні зубної коронки, пряма","ACTION"
"97915-00","Послуги екстреної стоматологічної допомоги у позаробочий час","ACTION"
"13100-04","Постійна гемодіафільтрація","ACTION"
"13100-02","Постійна гемофільтрація","ACTION"
"96234-07","Завершення курсу променевої терапії","ACTION"
"97645-00","Прецизійне або магнітне (замкове кріплення), мостоподібний зубний протез","ACTION"
"97735-00","Прецизійне або магнітне замкове кріплення, внутрішньопротезна частина","ACTION"
"96241-01","Призначення психотерапевтичного лікарського засобу, новий препарат","ACTION"
"96241-02","Призначення психотерапевтичного лікарського засобу, повторно призначений препарат","ACTION"
"96241-09","Призначення психофармакотерапевтичного лікарського засобу, неуточнений або невідомо, чи препарат новий, чи повторно призначений","ACTION"
"97583-01","Прикріплення вініра до поверхні зуба, непряме","ACTION"
"97871-00","Прилаштування незнімного (фiксованого) або знімного ортодонтичного апарата","ACTION"
"97664-00","Припасовка дуги зубного протеза","ACTION"
"97661-00","Припасовка імпланта-абатмента, один абатмент","ACTION"
"92516-00","Проведення нейроаксіальної блокади","ACTION"
"92517-02","Проведення регіональної блокади, нерв верхньої кінцівки","ACTION"
"92517-00","Проведення регіональної блокади, нерв голови або шиї","ACTION"
"92517-03","Проведення регіональної блокади, нерв нижньої кінцівки","ACTION"
"92517-01","Проведення регіональної блокади, нерв тулуба","ACTION"
"92101-00","Промивання (іригація) через інший постійний сечовий катетер","ACTION"
"92099-00","Промивання (іригація) через нефростому або пієлостому","ACTION"
"92100-00","Промивання (іригація) через уретеростому або сечовідний катетер","ACTION"
"92102-00","Промивання (іригація) через цистостому","ACTION"
"97455-00","Промивання і пломбування системи кореневого каналу, один зуб","ACTION"
"92029-00","Промивання носових проходів","ACTION"
"92195-00","Промивання через катетер, не класифіковане в інших рубриках","ACTION"
"14200-00","Промивання шлунка","ACTION"
"92037-00","Промивання шлунка через назогастральний зонд","ACTION"
"97666-00","Протез з фіксованим металевим каркасом, прикріпленим до імплантатів, за дугу","ACTION"
"97667-00","Протез зі змінним металевим каркасом, прикріпленим до імплантатів, за дугу","ACTION"
"97665-00","Протез зі знімною композитною основою, прикріпленою до імплантатів, за дугу","ACTION"
"92160-00","Профілактична вакцинація проти вірусного енцефаліту, що переноситься членистоногими","ACTION"
"92158-00","Профілактична вакцинація проти вірусної інфекції верхніх дихальних шляхів","ACTION"
"92159-00","Профілактична вакцинація проти грипу","ACTION"
"92161-00","Профілактичне введення вакцини проти інших хвороб","ACTION"
"96066-00","Профілактичне консультування або навчання","ACTION"
"12530-00","Сцинтіграфія всього тіла","ACTION"
"97165-01","Процедура для зниження чутливості зубів","ACTION"
"42833-00","Процедура для лікування косоокості, що охоплює 1 або 2 м'язи, 1 око","ACTION"
"42833-01","Процедура для лікування косоокості, що охоплює 1 або 2 м'язи, обидва ока","ACTION"
"42839-00","Процедура для лікування косоокості, що охоплює не менше 3 м'язів, 1 око","ACTION"
"42839-01","Процедура для лікування косоокості, що охоплює не менше 3 м'язів, обидва ока","ACTION"
"14203-01","Пряма імплантація живої тканини","ACTION"
"14203-00","Пряма підшкірна імплантація гормону","ACTION"
"96239-00","Психонавчання","ACTION"
"96179-00","Психотерапія сексуальних розладів","ACTION"
"15269-00","Радіотерапія, мегавольтна, ≥ 2 полів, лінійний прискорювач з двома способами впливу","ACTION"
"15239-00","Радіотерапія, мегавольтна, ≥ 2 полів, лінійний прискорювач з одним способом впливу","ACTION"
"15254-00","Радіотерапія, мегавольтна, 1 поле, лінійний прискорювач з двома способами впливу","ACTION"
"15224-00","Радіотерапія, мегавольтна, 1 поле, лінійний прискорювач з одним способом впливу","ACTION"
"15103-00","Радіотерапія, ортовольтна, ≥ 2 полів","ACTION"
"15100-00","Радіотерапія, ортовольтна, 1 поле","ACTION"
"15003-00","Радіотерапія, поверхнева, ≥ 2 полів","ACTION"
"15000-00","Радіотерапія, поверхнева, 1 поле","ACTION"
"92002-00","Реабілітація після вживання алкоголю","ACTION"
"92005-00","Реабілітація після вживання наркотичних речовин","ACTION"
"92008-00","Реабілітація після поєднаного вживання алкоголю та нареотичних речовин","ACTION"
"92004-00","Реабілітація та детоксикація після вживання алкоголю","ACTION"
"92007-00","Реабілітація та детоксикація після вживання наркотичних речовин","ACTION"
"92010-00","Реабілітація та детоксикація після поєднаного вживання алкоголю та наркотичних речовин","ACTION"
"97653-01","Ребондінг моста або шини","ACTION"
"92511-99","Регіональна блокада, нерв верхньої кінцівки, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, не екстрена допомога або невідомо","ACTION"
"92511-90","Регіональна блокада, нерв верхньої кінцівки, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, процедура проводиться як екстрена допомога","ACTION"
"92511-59","Регіональна блокада, нерв верхньої кінцівки, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, не екстрена допомога або невідомо","ACTION"
"92509-10","Регіональна блокада, нерв голови або шиї, нормальний здоровий пацієнт, процедура проводиться як екстрена допомога","ACTION"
"92511-50","Регіональна блокада, нерв верхньої кінцівки, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, процедура проводиться як екстрена допомога","ACTION"
"92511-19","Регіональна блокада, нерв верхньої кінцівки, нормальний здоровий пацієнт, не екстрена допомога або невідомо","ACTION"
"92511-10","Регіональна блокада, нерв верхньої кінцівки, нормальний здоровий пацієнт, процедура проводиться як екстрена допомога","ACTION"
"92067-00","Розширення стоми після ентеростомії","ACTION"
"92071-00","Ручне вправлення грижі/кили","ACTION"
"92511-49","Регіональна блокада, нерв верхньої кінцівки, пацієнт з вираженим інвалідизуючим захворюванням, не екстрена допомога або невідомо","ACTION"
"92511-40","Регіональна блокада, нерв верхньої кінцівки, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, процедура проводиться як екстрена допомога","ACTION"
"92511-29","Регіональна блокада, нерв верхньої кінцівки, пацієнт з легкими системними розладами, не екстрена допомога або невідомо","ACTION"
"92511-20","Регіональна блокада, нерв верхньої кінцівки, пацієнт з легкими системними розладами, процедура проводиться як екстрена допомога","ACTION"
"92511-39","Регіональна блокада, нерв верхньої кінцівки, пацієнт зі значними системними розладами, що обмежують активність, не екстрена допомога або невідомо","ACTION"
"41647-01","Санітарна обробка вуха, двобічна","ACTION"
"92511-30","Регіональна блокада, нерв верхньої кінцівки, пацієнт зі значними системними розладами, що обмежують активність, процедура проводиться як екстрена допомога","ACTION"
"92511-69","Регіональна блокада, нерв верхньої кінцівки, пацієнт, мозок якого офіційно визнаний мертвим, та органи якого будуть використані для донорства, не екстрена допомога або невідомо","ACTION"
"92509-99","Регіональна блокада, нерв голови або шиї, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, не екстрена допомога або невідомо","ACTION"
"92509-90","Регіональна блокада, нерв голови або шиї, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, процедура проводиться як екстрена допомога","ACTION"
"92509-59","Регіональна блокада, нерв голови або шиї, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, не екстрена допомога або невідомо","ACTION"
"92509-50","Регіональна блокада, нерв голови або шиї, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, процедура проводиться як екстрена допомога","ACTION"
"92509-19","Регіональна блокада, нерв голови або шиї, нормальний здоровий пацієнт, не екстрена допомога або невідомо","ACTION"
"92509-49","Регіональна блокада, нерв голови або шиї, пацієнт з вираженим інвалідизуючим захворюванням, не екстрена допомога або невідомо","ACTION"
"92509-40","Регіональна блокада, нерв голови або шиї, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, процедура проводиться як екстрена допомога","ACTION"
"92509-29","Регіональна блокада, нерв голови або шиї, пацієнт з легкими системними розладами, не екстрена допомога або невідомо","ACTION"
"92509-20","Регіональна блокада, нерв голови або шиї, пацієнт з легкими системними розладами, процедура проводиться як екстрена допомога","ACTION"
"92509-39","Регіональна блокада, нерв голови або шиї, пацієнт зі значними системними розладами, що обмежують активність, не екстрена допомога або невідомо","ACTION"
"92509-30","Регіональна блокада, нерв голови або шиї, пацієнт зі значними системними розладами, що обмежують активність, процедура проводиться як екстрена допомога","ACTION"
"92509-69","Регіональна блокада, нерв голови або шиї, пацієнт, мозок якого офіційно визнаний мертвим, та органи якого будуть використані для донорства, не екстрена допомога або невідомо","ACTION"
"92510-29","Регіональна блокада, нерв тулуба, пацієнт з легкими системними розладами, не екстрена допомога або невідомо","ACTION"
"92512-99","Регіональна блокада, нерв нижньої кінцівки, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, не екстрена допомога або невідомо","ACTION"
"92512-90","Регіональна блокада, нерв нижньої кінцівки, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, процедура проводиться як екстрена допомога","ACTION"
"36503-02","Трансплантація нирки, трупний донор","ACTION"
"92512-59","Регіональна блокада, нерв нижньої кінцівки, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, не екстрена допомога або невідомо","ACTION"
"41647-00","Санітарна обробка вуха, однобічна","ACTION"
"92194-00","Аутопсія","ACTION"
"92512-50","Регіональна блокада, нерв нижньої кінцівки, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, процедура проводиться як екстрена допомога","ACTION"
"92512-19","Регіональна блокада, нерв нижньої кінцівки, нормальний здоровий пацієнт, не екстрена допомога або невідомо","ACTION"
"92512-10","Регіональна блокада, нерв нижньої кінцівки, нормальний здоровий пацієнт, процедура проводиться як екстрена допомога","ACTION"
"92512-49","Регіональна блокада, нерв нижньої кінцівки, пацієнт з вираженим інвалідизуючим захворюванням, не екстрена допомога або невідомо","ACTION"
"92512-40","Регіональна блокада, нерв нижньої кінцівки, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, процедура проводиться як екстрена допомога","ACTION"
"92512-29","Регіональна блокада, нерв нижньої кінцівки, пацієнт з легкими системними розладами, не екстрена допомога або невідомо","ACTION"
"92512-20","Регіональна блокада, нерв нижньої кінцівки, пацієнт з легкими системними розладами, процедура проводиться як екстрена допомога","ACTION"
"92512-39","Регіональна блокада, нерв нижньої кінцівки, пацієнт зі значними системними розладами, що обмежують активність, не екстрена допомога або невідомо","ACTION"
"92512-30","Регіональна блокада, нерв нижньої кінцівки, пацієнт зі значними системними розладами, що обмежують активність, процедура проводиться як екстрена допомога","ACTION"
"92512-69","Регіональна блокада, нерв нижньої кінцівки, пацієнт, мозок якого офіційно визнаний мертвим, та органи якого будуть використані для донорства, не екстрена допомога або невідомо","ACTION"
"92510-99","Регіональна блокада, нерв тулуба, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, не екстрена допомога або невідомо","ACTION"
"92510-90","Регіональна блокада, нерв тулуба, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, процедура проводиться як екстрена допомога","ACTION"
"92510-59","Регіональна блокада, нерв тулуба, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, не екстрена допомога або невідомо","ACTION"
"97543-01","Реставрація зуба (із застосуванням металу), 3 поверхні, непряма","ACTION"
"92510-50","Регіональна блокада, нерв тулуба, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, процедура проводиться як екстрена допомога","ACTION"
"92510-19","Регіональна блокада, нерв тулуба, нормальний здоровий пацієнт, не екстрена допомога або невідомо","ACTION"
"92510-10","Регіональна блокада, нерв тулуба, нормальний здоровий пацієнт, процедура проводиться як екстрена допомога","ACTION"
"92510-49","Регіональна блокада, нерв тулуба, пацієнт з вираженим інвалідизуючим захворюванням, не екстрена допомога або невідомо","ACTION"
"92510-40","Регіональна блокада, нерв тулуба, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, процедура проводиться як екстрена допомога","ACTION"
"92510-20","Регіональна блокада, нерв тулуба, пацієнт з легкими системними розладами, процедура проводиться як екстрена допомога","ACTION"
"92510-39","Регіональна блокада, нерв тулуба, пацієнт зі значними системними розладами, що обмежують активність, не екстрена допомога або невідомо","ACTION"
"45025-02","Шліфування СО2 лазером іншої ділянки шкіри","ACTION"
"92510-30","Регіональна блокада, нерв тулуба, пацієнт зі значними системними розладами, що обмежують активність, процедура проводиться як екстрена допомога","ACTION"
"92510-69","Регіональна блокада, нерв тулуба, пацієнт, мозок якого офіційно визнаний мертвим, та органи якого будуть використані для донорства, не екстрена допомога або невідомо","ACTION"
"97964-00","Реєстрація і установка моделі для проведення аналізу оклюзії","ACTION"
"97967-00","Реєстрація рухів нижньої щелепи за допомогою пантографа","ACTION"
"92094-00","Ректальний масаж","ACTION"
"97745-00","Ремоделювання повного знімного зубного протеза","ACTION"
"97746-00","Ремоделювання часткового знімного зубного протеза","ACTION"
"96093-00","Ремонт допоміжного засобу, адаптивного пристрою чи додаткового обладнання","ACTION"
"92043-00","Респіраторні лікарські засоби, які приймаються за допомогою небулайзера","ACTION"
"97541-01","Реставрація зуба (із застосуванням металу), 1 поверхня, непряма","ACTION"
"97511-01","Реставрація зуба (із застосуванням металу), 1 поверхня, пряма","ACTION"
"97542-01","Реставрація зуба (із застосуванням металу), 2 поверхні, непряма","ACTION"
"97512-01","Реставрація зуба (із застосуванням металу), 2 поверхні, пряма","ACTION"
"92065-00","Тампонування прямої кишки","ACTION"
"97513-01","Реставрація зуба (із застосуванням металу), 3 поверхні, пряма","ACTION"
"97544-00","Реставрація зуба (із застосуванням металу), 4 поверхні, непряма","ACTION"
"97514-02","Реставрація зуба (із застосуванням металу), 4 поверхні, пряма","ACTION"
"97545-00","Реставрація зуба (із застосуванням металу), 5 поверхонь, непряма","ACTION"
"97515-02","Реставрація зуба (із застосуванням металу), 5 поверхонь, пряма","ACTION"
"97578-00","Реставрація кута різця переднього зуба, один кут","ACTION"
"97551-01","Реставрація, що імітує колір зуба, 1 поверхня, непряма","ACTION"
"97552-01","Реставрація, що імітує колір зуба, 2 поверхні, непряма","ACTION"
"97553-01","Реставрація, що імітує колір зуба, 3 поверхні, непряма","ACTION"
"97554-01","Реставрація, що імітує колір зуба, 4 поверхні, непряма","ACTION"
"97555-01","Реставрація, що імітує колір зуба, 5 поверхонь, непряма","ACTION"
"18240-00","Ретробульбарне або перибульбарне введення знеболювального засобу","ACTION"
"97761-00","Рефіксація існуючого кламера до зубного протезу","ACTION"
"14212-01","Розправлення інвагінації за допомогою газів (пневматичне розправлення)","ACTION"
"14212-00","Розправлення інвагінації кишечника за допомогою рідини","ACTION"
"92132-00","Розтягування крайньої плоті","ACTION"
"92028-00","Розширення лобно-носового каналу","ACTION"
"92070-00","Ручне вправлення пролапса після ентеростомії","ACTION"
"92515-99","Седація, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, не екстрена допомога або невідомо","ACTION"
"92515-90","Седація, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, процедура проводиться як екстрена допомога","ACTION"
"92515-59","Седація, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, не екстрена допомога або невідомо","ACTION"
"92515-50","Седація, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, процедура проводиться як екстрена допомога","ACTION"
"92515-19","Седація, нормальний здоровий пацієнт, не екстрена допомога або невідомо","ACTION"
"92515-10","Седація, нормальний здоровий пацієнт, процедура проводиться як екстрена допомога","ACTION"
"92515-49","Седація, пацієнт з вираженим інвалідизуючим захворюванням, не екстрена допомога або невідомо","ACTION"
"92515-40","Седація, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, процедура проводиться як екстрена допомога","ACTION"
"92515-29","Седація, пацієнт з легкими системними розладами, не екстрена допомога або невідомо","ACTION"
"92515-20","Седація, пацієнт з легкими системними розладами, процедура проводиться як екстрена допомога","ACTION"
"92515-39","Седація, пацієнт зі значними системними розладами, що обмежують активність, не екстрена допомога або невідомо","ACTION"
"92515-30","Седація, пацієнт зі значними системними розладами, що обмежують активність, процедура проводиться як екстрена допомога","ACTION"
"92515-69","Седація, пацієнт, мозок якого офіційно визнаний мертвим, та органи якого будуть використані для донорства, не екстрена допомога або невідомо","ACTION"
"14050-02","Середньохвильові ультрафіолетові промені спектру В для інших ділянок","ACTION"
"95550-00","Суміжне медичне втручання, дієтологія","ACTION"
"14053-06","Середньохвильові ультрафіолетові промені спектру В для рук","ACTION"
"14053-08","Середньохвильові ультрафіолетові промені спектру В для рук та стоп","ACTION"
"14053-07","Середньохвильові ультрафіолетові промені спектру В для стоп","ACTION"
"92052-00","Серцево-легенева реанімація","ACTION"
"96102-00","Сімейна терапія/терапія опікунства","ACTION"
"90020-00","Спінальна ін'єкція іншої або комбінованої лікарської субстанції","ACTION"
"18216-31","Спінальна ін'єкція місцевого знеболювального","ACTION"
"18230-01","Спінальна ін'єкція нейролітичного засобу","ACTION"
"18216-32","Спінальна ін'єкція опіоїда","ACTION"
"90028-04","Спінальна ін'єкція стероїда","ACTION"
"18216-24","Спінальна інфузія іншої або комбінованої лікарської субстанції","ACTION"
"18216-18","Спінальна інфузія місцевого знеболювального","ACTION"
"18216-21","Спінальна інфузія опіоїда","ACTION"
"90028-05","Спінальна інфузія стероїда","ACTION"
"15351-00","Створення та аплікації аплікатора для ока","ACTION"
"90588-00","Остеоклазія","ACTION"
"15342-00","Створення та аплікації зліпка з радіоактивними препаратами","ACTION"
"90765-04","Створення та прилаштування додаткового лікувального обладнання","ACTION"
"90765-03","Створення та прилаштування індивідуальних блоків","ACTION"
"90765-00","Створення та прилаштування пристрою для іммобілізації, простого","ACTION"
"90765-01","Створення та прилаштування фіксуючого пристрою, середньої складності","ACTION"
"90765-02","Створення та прилаштування фіксуючого пристрою, складного","ACTION"
"15600-00","Стереотаксична радіотерапія, одна доза","ACTION"
"15600-01","Стереотаксична радіотерапія, фракцiйна","ACTION"
"96155-00","Стимулююча терапія, не класифікована в інших рубриках","ACTION"
"92054-00","Стимуляція каротидного синуса","ACTION"
"97131-00","Стоматологічні дієтичні поради","ACTION"
"95550-06","Суміжне медичне втручання, аудіологія","ACTION"
"95550-12","Суміжне медичне втручання, духовна турбота","ACTION"
"95550-11","Суміжне медичне втручання, інше","ACTION"
"95550-14","Суміжне медичне втручання, навчання хворих на діабет","ACTION"
"95550-07","Суміжне медичне втручання, ортоптика","ACTION"
"95550-04","Суміжне медичне втручання, подіатрія","ACTION"
"95550-05","Суміжне медичне втручання, порушення мовлення","ACTION"
"95550-08","Суміжне медичне втручання, протезування та техніка застосування ортопедичних апаратів","ACTION"
"95550-10","Суміжне медичне втручання, психологія","ACTION"
"95550-01","Суміжне медичне втручання, соціальна робота","ACTION"
"95550-02","Суміжне медичне втручання, трудова терапія","ACTION"
"95550-09","Суміжне медичне втручання, фармацевтика","ACTION"
"95550-03","Суміжне медичне втручання, фізіотерапія","ACTION"
"96171-00","Супровід або перевезення клієнта","ACTION"
"92027-00","Тампонування зовнішнього слухового ходу","ACTION"
"92104-00","Тампонування піхви","ACTION"
"13750-00","Терапевтичний плазмаферез","ACTION"
"13750-03","Терапевтичний тромбоцитаферез","ACTION"
"92210-00","Терапія оксидом азоту","ACTION"
"96178-00","Терапія пар","ACTION"
"96156-00","Терапія, що використовує оклюзію ока","ACTION"
"96159-00","Тест на амплітуду руху/м'язовий тест за допомогою спеціального обладнання","ACTION"
"96234-00","Технологічно-аситсоване втручання, не класифіковане в інших рубриках","ACTION"
"97631-00","Тимчасова коронка","ACTION"
"97572-01","Тимчасова реставрація зуба, для 1 зуба","ACTION"
"61320-00","Дослідження шунта серця","ACTION"
"97458-00","Тимчасове пломбування кореневого каналу","ACTION"
"97633-00","Тимчасовий імплант-абатмент, один абатмент","ACTION"
"97632-00","Тимчасовий міст, тіло мостоподібного протеза","ACTION"
