"code","description","record_type"
"P93","Реакції та інтоксикації, зумовлені лікарськими засобами, призначеними для плода та новонародженого","ICD10"
"M71.14","Інший інфекційний бурсит, кисть","ICD10"
"H95.13","Кіста слизової оболонки порожнини після мастоїдектомії","ICD10"
"M94.34","Хондроліз, кисть","ICD10"
"L82","Себорейний кератоз","ICD10"
"Y03.42","Напад шляхом зіткнення легкового автомобіля з іншим моторним транспортним засобом, дорожнього, інший член родини","ICD10"
"Q89.41","Дицефалія","ICD10"
"M40.22","Інший та неуточнений кіфоз, шийний відділ","ICD10"
"P76.9","Непрохідність кишок у новонародженого, неуточнена","ICD10"
"D13.9","Доброякісне новоутворення Неточно визначених ділянок системи травлення","ICD10"
"T86.0","Відторгнення трансплантата кісткового мозку","ICD10"
"H49.1","Параліч четвертого [блокового] нерва","ICD10"
"M10.01","Ідіопатична подагра, ділянка плеча","ICD10"
"R96.1","Смерть, що настала раніше, ніж через 24 години від моменту виникнення симптомів, яка не має іншого пояснення","ICD10"
"M65.03","Абсцес піхви сухожилка, передпліччя","ICD10"
"M21.24","Згинальна деформація, кисть","ICD10"
"Y64.0","Використання забруднених медичних або біологічних речовин для трансфузії чи інфузії","ICD10"
"K41.0","Двостороння стегнова грижа з непрохідністю без гангрени","ICD10"
"M25.03","Гемартроз, передпліччя","ICD10"
"O06.8","Неуточнений аборт, Повний або неуточнений аборт з іншими та неуточненими ускладненнями","ICD10"
"S50.81","Садно передпліччя","ICD10"
"T34.5","Обмороження з некрозом тканин у ділянці зап'ястка та кисті","ICD10"
"M63.06","Міозит при бактеріальних хворобах, класифікованих в інших рубриках, гомілка","ICD10"
"R87.0","Відхилення від норми, виявлені при дослідженні проб з жіночих статевих органів, Паталогічний рівень ферментів","ICD10"
"S42.11","Перелом тіла лопатки","ICD10"
"A08.0","Ротавірусний ентерит","ICD10"
"M41.89","Інші форми сколіозу, неуточнена локалізація","ICD10"
"M46.42","Дисцит, неуточнений, шийний відділ","ICD10"
"S88.0","Травматична ампутація у ділянці колінного суглоба","ICD10"
"G37.1","Центральна демієлінізація мозолистого тіла","ICD10"
"K55.0","Гострі судинні хвороби кишечнику","ICD10"
"C49.1","Злоякісне новоутворення Сполучної та м'яких тканин верхньої кінцівки, включаючи ділянку плечового поясу","ICD10"
"M54.84","Інша дорсалгія, грудний відділ","ICD10"
"Z54.9","Період видужування після іншого неуточненого виду лікування","ICD10"
"A51.9","Ранній сифіліс, неуточнений","ICD10"
"M43.54","Інший звичний підвивих хребців, грудний відділ","ICD10"
"B85.4","Змішаний педикульоз і фтиріоз","ICD10"
"Q38.40","Вроджена вада розвитку слинних(ої) залоз(и) та проток(и), неуточнена","ICD10"
"L03.2","Флегмона обличчя","ICD10"
"J38.01","Параліч голосових складок та гортані, однобічний, частковий","ICD10"
"R82.7","Відхилення від норми, виявлені при мікробіологічному дослідженні сечі","ICD10"
"B45.0","Легеневий криптококоз","ICD10"
"F68.0","Формування соматичних симптомів з психологічних причин","ICD10"
"K26.6","Виразка дванадцятипалої кишки, Хронічна чи неуточнена з кровотечею та перфорацією","ICD10"
"Q04.32","Редукційні аномалії гіпоталамуса","ICD10"
"X26.02","Контакт з португальським корабликом та фізалією","ICD10"
"M05.21","Ревматоїдний васкуліт, ділянка плеча","ICD10"
"J69.1","Пневмоніт, спричинений вдиханням масел та есенцій","ICD10"
"X88.09","Напад з використанням газів та випарів з метою вбивства чи нанесення ушкодження, неуточнена особа","ICD10"
"Q69.0","Додатковий(і) палець (пальці) кисті","ICD10"
"Y02.27","Напад зі штовханням під чи на шлях трамвая, що рухається, або розміщенням на шляху його руху з метою вбивства чи нанесення ушкодження, група осіб, невідомих жертві","ICD10"
